product_name,in_area,product_serial_number,Summe von consumption,Summe von customer_base_price,Summe von work_price_charged_incl_energy_taxes,Summe von discount,Summe von eeg_contribution,Summe von electricity_tax,Summe von gas_tax,Summe von grid_base_price,Summe von grid_work_price,Summe von kwk,Summe von metering,Summe von Erlös,Summe von Kosten,Summe von Rohmarge,Rohmarge/KWH
ELECTRICITY_SUBSCRIPTION_12,ia,8000220625,142.2,3.59,33.63,0,5.29,2.92,0,1.48,7.86,0.54,0.7,37.22,18.79,18.43,0.12960618846694796
ELECTRICITY_SUBSCRIPTION_12,ia,8000238009,495.900,13.36,109.45,0,18.46,10.17,0,4.36,27.42,1.87,2.07,122.81,64.35,58.46,0.11788667069973786
ELECTRICITY_SUBSCRIPTION_12,ia,8000248864,432.300,18.00,99.52,0,16.09,8.86,0,5.03,23.91,1.63,2.38,117.52,57.90,59.62,0.13791348600508904
ELECTRICITY_SUBSCRIPTION_12,ia,8000249452,164.9,4.77,37.96,0,6.14,3.38,0,1.33,9.12,0.62,0.63,42.73,21.22,21.51,0.1304426925409339
ELECTRICITY_SUBSCRIPTION_12,ia,8000253661,99.8,6.62,22.97,0,3.72,2.05,0,1.85,5.52,0.38,0.88,29.59,14.40,15.19,0.15220440881763528
ELECTRICITY_SUBSCRIPTION_12,ia,8000254867,249.800,10.06,57.5,0,9.3,5.12,0,2.81,13.81,0.94,1.33,67.56,33.31,34.25,0.13710968775020016
ELECTRICITY_SUBSCRIPTION_12,ia,8000267475,322.4,7.68,74.22,0,12,6.61,0,2.15,17.83,1.22,1.02,81.90,40.83,41.07,0.12738833746898265
ELECTRICITY_SUBSCRIPTION_12,ia,8000271793,201.900,16.15,46.48,0,7.52,4.14,0,4.51,11.17,0.76,2.14,62.63,30.24,32.39,0.16042595344229815
ELECTRICITY_SUBSCRIPTION_12,ia,8000277141,642.300,18.53,147.86,0,23.91,13.17,0,5.18,35.52,2.43,2.45,166.39,82.66,83.73,0.13035964502568895
ELECTRICITY_SUBSCRIPTION_12,ia,8000298272,248.000,19.33,57.09,0,9.23,5.08,0,5.40,13.71,0.94,2.56,76.42,36.92,39.50,0.1592741935483871
ELECTRICITY_SUBSCRIPTION_12,ia,8000303215,67.300,21.18,15.49,0,2.51,1.38,0,5.92,3.72,0.25,2.80,36.67,16.58,20.09,0.2985141158989599
ELECTRICITY_SUBSCRIPTION_12,ia,8000328302,391.100,17.21,86.32,0,14.56,8.02,0,5.62,21.63,1.48,2.66,103.53,53.97,49.56,0.12671950907696242
ELECTRICITY_SUBSCRIPTION_12,ia,8000328435,234.500,17.89,51.75,0,8.73,4.81,0,5.84,12.97,0.89,2.77,69.64,36.01,33.63,0.14341151385927506
ELECTRICITY_SUBSCRIPTION_12,ia,8000332256,332.500,18.34,73.38,0,12.38,6.82,0,5.99,18.39,1.26,2.84,91.72,47.68,44.04,0.13245112781954888
ELECTRICITY_SUBSCRIPTION_12,ia,8000333611,252.000,15.62,58.01,0,9.38,5.17,0,4.36,13.94,0.95,2.07,73.63,35.87,37.76,0.14984126984126983
ELECTRICITY_SUBSCRIPTION_12,ia,8000370741,144.1,7.41,33.17,0,5.36,2.95,0,2.07,7.97,0.54,0.98,40.58,19.87,20.71,0.1437196391394865
ELECTRICITY_SUBSCRIPTION_12,ia,8000382697,376.100,13.58,83.01,0,14.00,7.71,0,4.44,20.80,1.42,2.10,96.59,50.47,46.12,0.12262696091465035
ELECTRICITY_SUBSCRIPTION_12,ia,8000390857,298.600,20.65,68.74,0,11.12,6.12,0,5.77,16.51,1.13,2.73,89.39,43.38,46.01,0.15408573342263895
ELECTRICITY_SUBSCRIPTION_12,ia,8000390982,162.600,16.53,35.89,0,6.05,3.33,0,5.40,8.99,0.61,2.56,52.42,26.94,25.48,0.15670356703567037
ELECTRICITY_SUBSCRIPTION_12,ia,8000412736,482.900,15.62,111.16,0,17.98,9.90,0,4.36,26.70,1.83,2.07,126.78,62.84,63.94,0.13240836612135018
ELECTRICITY_SUBSCRIPTION_12,ia,8000420162,247.600,9.88,58.56,0,9.22,5.08,0,4.07,13.69,0.94,1.93,68.44,34.93,33.51,0.13533925686591275
ELECTRICITY_SUBSCRIPTION_12,ia,8000420721,630.00,10.41,139.04,0,23.45,12.92,0,3.40,34.84,2.38,1.61,149.45,78.60,70.85,0.11246031746031745
ELECTRICITY_SUBSCRIPTION_12,ia,8000440481,35.1,3.05,8.3,0,1.31,0.72,0,1.26,1.94,0.13,0.6,11.35,5.96,5.39,0.15356125356125355
ELECTRICITY_SUBSCRIPTION_12,ia,8000449635,366.200,21.71,84.30,0,13.63,7.51,0,6.07,20.25,1.38,2.87,106.01,51.71,54.30,0.1482796286182414
ELECTRICITY_SUBSCRIPTION_12,ia,8000468309,428.000,9.34,101.22,0,15.93,8.77,0,3.85,23.67,1.62,1.82,110.56,55.66,54.90,0.12827102803738316
ELECTRICITY_SUBSCRIPTION_12,ia,8000475319,66,6.11,14.57,0,2.46,1.35,0,2,3.65,0.25,0.95,20.68,10.66,10.02,0.15181818181818182
ELECTRICITY_SUBSCRIPTION_12,ia,8000477975,132.3,5.3,30.46,0,4.93,2.71,0,1.48,7.32,0.5,0.7,35.76,17.64,18.12,0.13696145124716552
ELECTRICITY_SUBSCRIPTION_12,ia,8000486623,209.9,5.03,48.32,0,7.81,4.3,0,1.41,11.61,0.79,0.67,53.35,26.59,26.76,0.1274892806098142
ELECTRICITY_SUBSCRIPTION_12,ia,8000492802,293.800,17.74,67.63,0,10.94,6.02,0,4.96,16.25,1.11,2.35,85.37,41.63,43.74,0.14887678692988426
ELECTRICITY_SUBSCRIPTION_12,ia,8000498671,176.100,15.17,38.87,0,6.56,3.61,0,4.96,9.74,0.67,2.35,54.04,27.89,26.15,0.14849517319704714
ELECTRICITY_SUBSCRIPTION_12,ia,8000524432,274.800,13.81,60.65,0,10.23,5.63,0,4.51,15.20,1.04,2.14,74.46,38.75,35.71,0.1299490538573508
ELECTRICITY_SUBSCRIPTION_12,ia,8000531437,139.800,9.80,32.18,0,5.20,2.87,0,2.74,7.73,0.53,1.30,41.98,20.37,21.61,0.15457796852646635
ELECTRICITY_SUBSCRIPTION_12,ia,8000531477,144.400,10.64,31.87,0,5.38,2.96,0,3.48,7.99,0.55,1.65,42.51,22.01,20.50,0.1419667590027701
ELECTRICITY_SUBSCRIPTION_12,ia,8000532887,152.00,8.15,33.55,0,5.66,3.12,0,2.66,8.41,0.57,1.26,41.70,21.68,20.02,0.13171052631578947
ELECTRICITY_SUBSCRIPTION_12,ia,8000539757,83.400,7.25,18.41,0,3.10,1.71,0,2.37,4.61,0.32,1.12,25.66,13.23,12.43,0.14904076738609112
ELECTRICITY_SUBSCRIPTION_12,ia,8000540230,128.6,3.05,30.41,0,4.79,2.64,0,1.26,7.11,0.49,0.6,33.46,16.89,16.57,0.12884914463452568
ELECTRICITY_SUBSCRIPTION_12,ia,8000549454,407.000,15.40,89.83,0,15.15,8.34,0,5.03,22.51,1.54,2.38,105.23,54.95,50.28,0.12353808353808354
ELECTRICITY_SUBSCRIPTION_12,ia,8000555170,314,7.41,72.28,0,11.69,6.44,0,2.07,17.36,1.19,0.98,79.69,39.73,39.96,0.1272611464968153
ELECTRICITY_SUBSCRIPTION_12,ia,8000558296,333.79999999999995,11.32,73.67,0,12.43,6.84,0,3.70,18.46,1.26,1.75,84.99,44.44,40.55,0.12147992810065908
ELECTRICITY_SUBSCRIPTION_12,ia,8000560131,280.000,9.00,64.46,0,10.42,5.74,0,2.52,15.48,1.06,1.19,73.46,36.41,37.05,0.13232142857142856
ELECTRICITY_SUBSCRIPTION_12,ia,8000561960,2.300,8.15,0.51,0,0.09,0.05,0,2.66,0.13,0.01,1.26,8.66,4.20,4.46,1.9391304347826088
ELECTRICITY_SUBSCRIPTION_12,ia,8000580381,362.900,16.75,80.09,0,13.51,7.44,0,5.47,20.07,1.37,2.59,96.84,50.45,46.39,0.12783135850096447
ELECTRICITY_SUBSCRIPTION_12,ia,8000584694,218.100,5.93,51.58,0,8.12,4.47,0,2.44,12.06,0.82,1.16,57.51,29.07,28.44,0.13039889958734527
ELECTRICITY_SUBSCRIPTION_12,ia,8000585605,156.4,5.3,36,0,5.82,3.21,0,1.48,8.65,0.59,0.7,41.3,20.45,20.85,0.13331202046035806
ELECTRICITY_SUBSCRIPTION_12,ia,8000593081,237.20,9.27,54.61,0,8.83,4.86,0,2.59,13.12,0.9,1.23,63.88,31.53,32.35,0.13638279932546377
ELECTRICITY_SUBSCRIPTION_12,ia,8000604864,713.7999999999998,18.79,157.53,0,26.57,14.63,0,6.14,39.47,2.70,2.91,176.32,92.42,83.90,0.11753992715046235
ELECTRICITY_SUBSCRIPTION_12,ia,8000607503,137.700,15.85,30.39,0,5.13,2.82,0,5.18,7.61,0.52,2.45,46.24,23.71,22.53,0.1636165577342048
ELECTRICITY_SUBSCRIPTION_12,ia,8000616177,180.300,16.68,41.51,0,6.71,3.70,0,4.66,9.97,0.68,2.21,58.19,27.93,30.26,0.1678313921242374
ELECTRICITY_SUBSCRIPTION_12,ia,8000633750,366.800,14.30,84.44,0,13.66,7.52,0,3.99,20.28,1.39,1.89,98.74,48.73,50.01,0.1363413304252999
ELECTRICITY_SUBSCRIPTION_12,ia,8000640999,277.800,15.40,61.31,0,10.34,5.69,0,5.03,15.36,1.05,2.38,76.71,39.85,36.86,0.13268538516918646
ELECTRICITY_SUBSCRIPTION_12,ia,8000648103,426.800,17.74,98.25,0,15.89,8.75,0,4.96,23.60,1.61,2.35,115.99,57.16,58.83,0.13783973758200563
ELECTRICITY_SUBSCRIPTION_12,ia,8000677993,321.000,13.58,70.84,0,11.95,6.58,0,4.44,17.75,1.21,2.10,84.42,44.03,40.39,0.12582554517133956
ELECTRICITY_SUBSCRIPTION_12,ia,8000678789,60.100,16.08,13.27,0,2.24,1.23,0,5.25,3.32,0.23,2.49,29.35,14.76,14.59,0.2427620632279534
ELECTRICITY_SUBSCRIPTION_12,ia,8000689560,43.1,2.91,9.92,0,1.6,0.88,0,0.81,2.38,0.16,0.39,12.83,6.22,6.61,0.1533642691415313
ELECTRICITY_SUBSCRIPTION_12,ia,8000695301,248.700,14.49,54.89,0,9.26,5.10,0,4.73,13.75,0.94,2.24,69.38,36.02,33.36,0.13413751507840774
ELECTRICITY_SUBSCRIPTION_12,ia,8000697834,185.70,10.59,42.75,0,6.91,3.81,0,2.96,10.27,0.70,1.40,53.34,26.05,27.29,0.14695745826602047
ELECTRICITY_SUBSCRIPTION_12,ia,8000710245,95.500,11.86,22.59,0,3.56,1.96,0,4.88,5.28,0.36,2.31,34.45,18.35,16.10,0.16858638743455498
ELECTRICITY_SUBSCRIPTION_12,ia,8000711285,305,3.05,72.13,0,11.36,6.25,0,1.26,16.87,1.15,0.6,75.18,37.49,37.69,0.12357377049180328
ELECTRICITY_SUBSCRIPTION_12,ia,8000712159,263.300,8.74,60.61,0,9.80,5.40,0,2.44,14.56,1.00,1.16,69.35,34.36,34.99,0.13289023927079377
ELECTRICITY_SUBSCRIPTION_12,ia,8000714773,117.900,10.87,26.02,0,4.39,2.42,0,3.55,6.52,0.45,1.68,36.89,19.01,17.88,0.15165394402035623
ELECTRICITY_SUBSCRIPTION_12,ia,8000716269,81.500,13.36,17.99,0,3.03,1.67,0,4.36,4.51,0.31,2.07,31.35,15.95,15.40,0.18895705521472392
ELECTRICITY_SUBSCRIPTION_12,ia,8000716481,168.200,8.60,37.12,0,6.26,3.45,0,2.81,9.3,0.64,1.33,45.72,23.79,21.93,0.1303804994054697
ELECTRICITY_SUBSCRIPTION_12,ia,8000717574,207.400,9.80,47.74,0,7.72,4.25,0,2.74,11.47,0.78,1.30,57.54,28.26,29.28,0.1411764705882353
ELECTRICITY_SUBSCRIPTION_12,ia,8000718823,259.900,8.47,59.83,0,9.68,5.33,0,2.37,14.37,0.98,1.12,68.30,33.85,34.45,0.13255098114659486
ELECTRICITY_SUBSCRIPTION_12,ia,8000721520,97.000,9.27,22.33,0,3.61,1.99,0,2.59,5.36,0.37,1.23,31.60,15.15,16.45,0.16958762886597936
ELECTRICITY_SUBSCRIPTION_12,ia,8000727367,438.000,13.77,100.83,0,16.31,8.98,0,3.85,24.22,1.66,1.82,114.60,56.84,57.76,0.13187214611872144
ELECTRICITY_SUBSCRIPTION_12,ia,8000741452,47,3.71,10.82,0,1.75,0.96,0,1.04,2.6,0.18,0.49,14.53,7.02,7.51,0.15978723404255318
ELECTRICITY_SUBSCRIPTION_12,ia,8000741631,11,0.53,2.53,0,0.41,0.23,0,0.15,0.61,0.04,0.07,3.06,1.51,1.55,0.1409090909090909
ELECTRICITY_SUBSCRIPTION_12,ia,8000749800,28.3,2.34,6.69,0,1.05,0.58,0,0.96,1.56,0.11,0.46,9.03,4.72,4.31,0.15229681978798584
ELECTRICITY_SUBSCRIPTION_12,ia,8000750477,161.400,11.09,35.62,0,6.01,3.31,0,3.62,8.93,0.61,1.72,46.71,24.20,22.51,0.13946716232961587
ELECTRICITY_SUBSCRIPTION_12,ia,8000771838,78.5,6.79,17.32,0,2.92,1.61,0,2.22,4.34,0.3,1.05,24.11,12.44,11.67,0.1486624203821656
ELECTRICITY_SUBSCRIPTION_12,ia,8000776451,503.900,15.89,116.00,0,18.76,10.33,0,4.44,27.87,1.90,2.10,131.89,65.40,66.49,0.1319507838856916
ELECTRICITY_SUBSCRIPTION_12,ia,8000791620,78.3,5.3,18.02,0,2.92,1.61,0,1.48,4.33,0.3,0.7,23.32,11.34,11.98,0.1530012771392082
ELECTRICITY_SUBSCRIPTION_12,ia,8000796743,365.500,8.74,84.14,0,13.61,7.49,0,2.44,20.21,1.38,1.16,92.88,46.29,46.59,0.12746922024623805
ELECTRICITY_SUBSCRIPTION_12,ia,8000809612,326.000,15.89,75.05,0,12.14,6.68,0,4.44,18.03,1.23,2.10,90.94,44.62,46.32,0.14208588957055215
ELECTRICITY_SUBSCRIPTION_12,ia,8000812423,176.500,9.00,40.63,0,6.57,3.62,0,2.52,9.76,0.67,1.19,49.63,24.33,25.30,0.14334277620396602
ELECTRICITY_SUBSCRIPTION_12,ia,8000813124,94.800,9.74,20.93,0,3.53,1.94,0,3.18,5.24,0.36,1.51,30.67,15.76,14.91,0.15727848101265823
ELECTRICITY_SUBSCRIPTION_12,ia,8000830708,1347.80,14.49,297.45,0,50.18,27.63,0,4.73,74.53,5.09,2.24,311.94,164.40,147.54,0.1094672800118712
ELECTRICITY_SUBSCRIPTION_12,ia,8000838680,127.6,3.77,30.18,0,4.75,2.62,0,1.55,7.06,0.48,0.74,33.95,17.20,16.75,0.13126959247648903
ELECTRICITY_SUBSCRIPTION_12,ia,8000838991,326.000,15.62,75.05,0,12.14,6.68,0,4.36,18.03,1.23,2.07,90.67,44.51,46.16,0.14159509202453988
ELECTRICITY_SUBSCRIPTION_12,ia,8000843406,238.400,11.91,54.88,0,8.88,4.89,0,3.33,13.18,0.90,1.58,66.79,32.76,34.03,0.14274328859060403
ELECTRICITY_SUBSCRIPTION_12,ia,8000846150,612.500,17.21,141.00,0,22.80,12.56,0,4.81,33.87,2.32,2.28,158.21,78.64,79.57,0.12991020408163265
ELECTRICITY_SUBSCRIPTION_12,ia,8000862055,108.6,3.05,25.68,0,4.04,2.23,0,1.26,6.01,0.41,0.6,28.73,14.55,14.18,0.13057090239410682
ELECTRICITY_SUBSCRIPTION_12,ia,8000862330,247.20000000000002,6.57,54.56,0,9.2,5.07,0,2.15,13.67,0.93,1.02,61.13,32.04,29.09,0.11767799352750809
ELECTRICITY_SUBSCRIPTION_12,ia,8000867253,127.500,8.74,29.35,0,4.75,2.61,0,2.44,7.05,0.48,1.16,38.09,18.49,19.60,0.15372549019607845
ELECTRICITY_SUBSCRIPTION_12,ia,8000875645,88.8,3.23,21,0,3.31,1.82,0,1.33,4.91,0.34,0.63,24.23,12.34,11.89,0.13389639639639642
ELECTRICITY_SUBSCRIPTION_12,ia,8000876240,97.000,12.68,21.41,0,3.61,1.99,0,4.14,5.36,0.37,1.96,34.09,17.43,16.66,0.17175257731958762
ELECTRICITY_SUBSCRIPTION_12,ia,8000882510,75,6.88,17.27,0,2.79,1.54,0,1.92,4.15,0.28,0.91,24.15,11.59,12.56,0.16746666666666668
ELECTRICITY_SUBSCRIPTION_12,ia,8000884077,123.9,5.89,27.34,0,4.61,2.54,0,1.92,6.85,0.47,0.91,33.23,17.30,15.93,0.12857142857142856
ELECTRICITY_SUBSCRIPTION_12,ia,8000894557,207.200,13.58,45.73,0,7.71,4.25,0,4.44,11.46,0.78,2.10,59.31,30.74,28.57,0.13788610038610039
ELECTRICITY_SUBSCRIPTION_12,ia,8000896398,138.5,3.41,32.76,0,5.16,2.84,0,1.41,7.66,0.52,0.67,36.17,18.26,17.91,0.12931407942238268
ELECTRICITY_SUBSCRIPTION_12,ia,8000905649,357.200,17.47,82.23,0,13.30,7.32,0,4.88,19.75,1.35,2.31,99.70,48.91,50.79,0.1421892497200448
ELECTRICITY_SUBSCRIPTION_12,ia,8000923529,324.100,19.33,74.61,0,12.07,6.64,0,5.40,17.92,1.23,2.56,93.94,45.82,48.12,0.14847269361308235
ELECTRICITY_SUBSCRIPTION_12,ia,8000930120,425.000,19.06,97.83,0,15.82,8.71,0,5.33,23.50,1.61,2.52,116.89,57.49,59.40,0.13976470588235293
ELECTRICITY_SUBSCRIPTION_12,ia,8000943777,73,4.49,17.26,0,2.72,1.5,0,1.85,4.04,0.28,0.88,21.75,11.27,10.48,0.14356164383561645
ELECTRICITY_SUBSCRIPTION_12,ia,8000945810,114.700,7.91,27.13,0,4.27,2.35,0,3.25,6.34,0.43,1.54,35.04,18.18,16.86,0.14699215344376634
ELECTRICITY_SUBSCRIPTION_12,ia,8000945949,546.000,16.53,120.50,0,20.33,11.19,0,5.40,30.19,2.06,2.56,137.03,71.73,65.30,0.11959706959706959
ELECTRICITY_SUBSCRIPTION_12,ia,8000958368,47.5,1.8,11.23,0,1.77,0.97,0,0.74,2.63,0.18,0.35,13.03,6.64,6.39,0.1345263157894737
ELECTRICITY_SUBSCRIPTION_12,ia,8000970976,326.000,15.85,71.95,0,12.14,6.68,0,5.18,18.03,1.23,2.45,87.80,45.71,42.09,0.12911042944785278
ELECTRICITY_SUBSCRIPTION_12,ia,8000998788,128.3,4.5,29.53,0,4.78,2.63,0,1.26,7.09,0.48,0.6,34.03,16.84,17.19,0.13398285268901014
ELECTRICITY_SUBSCRIPTION_12,ia,8001010121,42.4,2.65,9.76,0,1.58,0.87,0,0.74,2.34,0.16,0.35,12.41,6.04,6.37,0.15023584905660378
ELECTRICITY_SUBSCRIPTION_12,ia,8001011011,220.000,16.15,50.64,0,8.19,4.51,0,4.51,12.17,0.83,2.14,66.79,32.35,34.44,0.15654545454545454
ELECTRICITY_SUBSCRIPTION_12,ia,8001013162,542.300,13.81,119.69,0,20.19,11.12,0,4.51,29.99,2.05,2.14,133.50,70.00,63.50,0.11709385948736863
ELECTRICITY_SUBSCRIPTION_12,ia,8001013958,385.500,12.58,91.17,0,14.35,7.90,0,5.18,21.32,1.46,2.45,103.75,52.66,51.09,0.13252918287937743
ELECTRICITY_SUBSCRIPTION_12,ia,8001015573,1209.900,17.74,278.52,0,45.04,24.80,0,4.96,66.91,4.57,2.35,296.26,148.63,147.63,0.1220183486238532
ELECTRICITY_SUBSCRIPTION_12,ia,8001033190,770.300,13.24,177.32,0,28.68,15.79,0,3.70,42.60,2.91,1.75,190.56,95.43,95.13,0.1234973386992081
ELECTRICITY_SUBSCRIPTION_12,ia,8001037171,1110.200,20.65,255.57,0,41.33,22.76,0,5.77,61.39,4.20,2.73,276.22,138.18,138.04,0.12433795712484236
ELECTRICITY_SUBSCRIPTION_12,ia,8001059277,195.500,11.32,43.14,0,7.28,4.01,0,3.70,10.81,0.74,1.75,54.46,28.29,26.17,0.1338618925831202
ELECTRICITY_SUBSCRIPTION_12,ia,8001059525,149.100,10.41,32.91,0,5.55,3.06,0,3.40,8.25,0.56,1.61,43.32,22.43,20.89,0.14010731052984576
ELECTRICITY_SUBSCRIPTION_12,ia,8001065997,228.000,10.06,52.49,0,8.49,4.67,0,2.81,12.61,0.86,1.33,62.55,30.77,31.78,0.1393859649122807
ELECTRICITY_SUBSCRIPTION_12,ia,8001070207,253.60,11.65,58.38,0,9.44,5.20,0,3.25,14.02,0.96,1.54,70.03,34.41,35.62,0.14045741324921135
ELECTRICITY_SUBSCRIPTION_12,ia,8001090971,275.700,15.17,60.85,0,10.26,5.65,0,4.96,15.25,1.04,2.35,76.02,39.51,36.51,0.1324265505984766
ELECTRICITY_SUBSCRIPTION_12,ia,8001103689,109.8,2.52,25.97,0,4.09,2.25,0,1.04,6.07,0.42,0.49,28.49,14.36,14.13,0.12868852459016394
ELECTRICITY_SUBSCRIPTION_12,ia,8001106566,56.4,4.53,12.45,0,2.1,1.16,0,1.48,3.12,0.21,0.7,16.98,8.77,8.21,0.14556737588652485
ELECTRICITY_SUBSCRIPTION_12,ia,8001110099,130.1,8.21,29.95,0,4.84,2.67,0,2.29,7.19,0.49,1.09,38.16,18.57,19.59,0.15057647963105303
ELECTRICITY_SUBSCRIPTION_12,ia,8001111892,212.000,16.42,48.80,0,7.89,4.35,0,4.59,11.72,0.80,2.17,65.22,31.52,33.70,0.15896226415094342
ELECTRICITY_SUBSCRIPTION_12,ia,8001121314,432.600,19.59,99.58,0,16.11,8.87,0,5.47,23.92,1.64,2.59,119.17,58.60,60.57,0.1400138696255201
ELECTRICITY_SUBSCRIPTION_12,ia,8001126392,281.800,18.79,62.19,0,10.49,5.78,0,6.14,15.58,1.07,2.91,80.98,41.97,39.01,0.13843151171043291
ELECTRICITY_SUBSCRIPTION_12,ia,8001127574,29.600,21.18,6.81,0,1.10,0.61,0,5.92,1.64,0.11,2.80,27.99,12.18,15.81,0.5341216216216216
